PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliation
40050966,Effect of group-based nutritional education combined with individual standard care for outpatients with type 2 diabetes: study protocol for a randomized clinical trial {1}.,2025,"['Aline Busanello', 'Vanessa Machado Menezes', 'Olivia Garbin Koller', 'Ândria Völz Andreia', 'Jussara Carnevale de Almeida']","['Post-Graduate Program in Nutrition, Food and Health, Universidade Federal Do Rio Grande Do Sul, Porto Alegre, Brazil.', 'Post-Graduate Program in Medical Sciences: Endocrinology, Faculdade de Medicina, Universidade Federal Do Rio Grande Do Sul, Porto Alegre, Brazil.', 'Post-Graduate Program in Medical Sciences: Endocrinology, Faculdade de Medicina, Universidade Federal Do Rio Grande Do Sul, Porto Alegre, Brazil.', 'Post-Graduate Program in Nutrition, Food and Health, Universidade Federal Do Rio Grande Do Sul, Porto Alegre, Brazil.', 'Post-Graduate Program in Nutrition, Food and Health, Universidade Federal Do Rio Grande Do Sul, Porto Alegre, Brazil. jcalmeida@hcpa.edu.br.']"
40050899,Barriers and potential solutions for effective integration of depression care into non-communicable diseases clinics in Malawi: a qualitative end-point evaluation of the SHARP randomized controlled trial.,2025,"['Michael Udedi', 'Jones Masiye']","['Ministry of Health, Lilongwe, Malawi.', 'Ministry of Health, Lilongwe, Malawi.']"
40050870,Nonpharmaceutical treatment of distal sensorimotor polyneuropathy in diabetic patients: an unblinded randomized clinical trial.,2025,"['Volha Laputsina', 'Viktoria Heinze', 'Marco Reer', 'Axel Schlitt']","['Department of Cardiology and Diabetology, Paracelsus-Harz-Clinic, Quedlinburg, Germany.', 'Department of Cardiology and Diabetology, Paracelsus-Harz-Clinic, Quedlinburg, Germany.', 'Department of Cardiology and Diabetology, Paracelsus-Harz-Clinic, Quedlinburg, Germany.', 'Department of Cardiology and Diabetology, Paracelsus-Harz-Clinic, Quedlinburg, Germany. axel.schlitt@pkd.de.']"
40050767,Effect of virtual care in type 2 diabetes management - a systematic umbrella review of systematic reviews and meta-analysis.,2025,"['Sumathy Ravi', 'Gideon Meyerowitz-Katz', 'Glen Maberly']","['Western Sydney Diabetes, Integrated and Community Health, Western Sydney Local Health District, Blacktown Road, Blacktown, NSW, 2148, Australia. Sumathy.Ravi@health.nsw.gov.au.', 'Western Sydney Diabetes, Integrated and Community Health, Western Sydney Local Health District, Blacktown Road, Blacktown, NSW, 2148, Australia.', 'Western Sydney Diabetes, Integrated and Community Health, Western Sydney Local Health District, Blacktown Road, Blacktown, NSW, 2148, Australia.']"
40050602,"[Current approaches to structured conservative, pharmacological, and surgical treatments for obesity].",2025,"['Winfried Keuthage', 'Klaus Winckler']","['- Dr. Keuthage, Münster -, Schwerpunktpraxis f. Diabetes/Ernährungsmedizin, Düesbergweg 128, 48153, Münster, Deutschland. kontakt@diabetes-praxis-muenster.de.', 'Schwerpunktpraxis für Ernährungsmedizin BDEM, Frankfurt, Frankfurt am Main, Deutschland.']"
40050470,Convergent evolution of complex adaptive traits modulates angiogenesis in high-altitude Andean and Himalayan human populations.,2025,"['Sara De Fanti', 'Phurba T Sherpa', 'Paolo Cocco', 'Massimiliano Tiriticco', 'Marco Di Marcello', 'Luca Natali', 'Giorgio Marinelli', 'Paolo Garagnani', 'Davide Peluzzi']","['IRCCS Istituto delle Scienze Neurologiche di Bologna, Bologna, Italy.', 'Mount Everest Summiters Club, Rolwaling, Dolakha, Nepal.', 'Explora Nunaat International, Montorio al Vomano, Teramo, Italy.', 'Explora Nunaat International, Montorio al Vomano, Teramo, Italy.', 'Explora Nunaat International, Montorio al Vomano, Teramo, Italy.', 'Explora Nunaat International, Montorio al Vomano, Teramo, Italy.', 'Explora Nunaat International, Montorio al Vomano, Teramo, Italy.', 'IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy.', 'Explora Nunaat International, Montorio al Vomano, Teramo, Italy.']"
40050430,"Sequencing in over 50,000 cases identifies coding and structural variation underlying atrial fibrillation risk.",2025,"['Christopher M Haggerty', 'Garðar Sveinbjörnsson', 'Nicholas A Marston', 'David O Arnar', 'Daniel Fannar Gudbjartsson', 'David R Van Wagoner', 'Doreen Haase', 'John Barnard', 'Jonathan D Smith', 'Renate B Schnabel', 'Connie R Bezzina', 'Mina K Chung', 'Paulus Kirchhof', 'Hilma Holm', 'Kari Stefansson', 'Christian T Ruff', 'Marc S Sabatine']","['Department of Translational Data Science and Informatics, Geisinger, Danville, PA, USA.', 'deCODE genetics/Amgen, Reykjavik, Iceland.', 'TIMI Study Group, Boston, MA, USA.', 'deCODE genetics/Amgen, Reykjavik, Iceland.', 'deCODE genetics/Amgen, Reykjavik, Iceland.', 'Department of Cardiovascular & Metabolic Sciences, Cleveland Clinic, Cleveland, OH, USA.', 'Atrial Fibrillation NETwork (AFNET), Münster, Germany.', 'Departments of Quantitative Health Sciences, Cleveland Clinic, Cleveland, OH, USA.', 'Department of Cardiovascular & Metabolic Sciences, Cleveland Clinic, Cleveland, OH, USA.', 'Atrial Fibrillation NETwork (AFNET), Münster, Germany.', 'Department of Experimental Cardiology, Heart Centre, Amsterdam Cardiovascular Sciences (Heart Failure & Arrhythmias), Amsterdam UMC, Amsterdam, The Netherlands.', 'Department of Cardiovascular Medicine, Cleveland Clinic, Cleveland, OH, USA.', 'Atrial Fibrillation NETwork (AFNET), Münster, Germany.', 'deCODE genetics/Amgen, Reykjavik, Iceland.', 'deCODE genetics/Amgen, Reykjavik, Iceland.', 'TIMI Study Group, Boston, MA, USA.', 'TIMI Study Group, Boston, MA, USA.']"
40050429,"Meta-analysis of genome-wide associations and polygenic risk prediction for atrial fibrillation in more than 180,000 cases.",2025,"['Gardar Sveinbjornsson', 'Nicholas A Marston', 'Hilma Holm', 'Daniel Gudbjartsson', 'Hildur Aegisdottir', 'Christine M Albert', 'David O Arnar', 'Eugene Braunwald', 'Daniel F Freitag', 'J Michael Gaziano', 'Christopher Haggerty', 'Frederick K Kamanu', 'Marcus E Kleber', 'Giorgio E M Melloni', 'Martina Müller-Nurasyid', 'Shichao Pang', 'Marc S Sabatine', 'Heribert Schunkert', 'Rosa B Thorolfsdottir', 'Unnur Thorsteinsdottir', 'Lingyao Zeng', 'Christian T Ruff', 'Kari Stefansson']","['deCODE genetics/Amgen Inc., Reykjavik, Iceland.', 'TIMI Study Group, Boston, MA, USA.', 'deCODE genetics/Amgen Inc., Reykjavik, Iceland.', 'deCODE genetics/Amgen Inc., Reykjavik, Iceland.', 'deCODE genetics/Amgen Inc., Reykjavik, Iceland.', 'Department of Cardiology, Cedars-Sinai, Los Angeles, CA, USA.', 'deCODE genetics/Amgen Inc., Reykjavik, Iceland.', 'TIMI Study Group, Boston, MA, USA.', 'Bayer Pharmaceuticals, Wuppertal, Germany.', 'Million Veteran Program, VA Boston Healthcare System, Boston, MA, USA.', 'Department of Translational Data Science and Informatics, Geisinger, Danville, PA, USA.', 'TIMI Study Group, Boston, MA, USA.', 'SYNLAB MVZ Humangenetik Mannheim, Mannheim, Germany.', 'TIMI Study Group, Boston, MA, USA.', 'IBE, Faculty of Medicine, LMU Munich, Munich, Germany.', 'Department of Cardiology, Deutsches Herzzentrum München, Technische Universität München, Munich, Germany.', 'TIMI Study Group, Boston, MA, USA.', 'Department of Cardiology, Deutsches Herzzentrum München, Technische Universität München, Munich, Germany.', 'deCODE genetics/Amgen Inc., Reykjavik, Iceland.', 'deCODE genetics/Amgen Inc., Reykjavik, Iceland.', 'Bayer Pharmaceuticals, Wuppertal, Germany.', 'TIMI Study Group, Boston, MA, USA.', 'deCODE genetics/Amgen Inc., Reykjavik, Iceland.']"
40050052,Epidemiology and burden of adult chronic pancreatitis in South Australia: a 20-year data linkage study.,2025,['John W Chen'],"['Department of Surgery, Flinders Medical Centre, Bedford Park, Australia.']"
40049978,"Characterization, digestive properties and glucose metabolism regulation of curcumin-loaded Pickering emulsion.",2025,"['Xinghua Liu', 'Wei Gao']","['Hebei Livestock Breeding Station, Shijiazhuang, China.', 'Chen Guang Biotechnology Group Co., Ltd., Handan, China.']"
